Strategy,Squeeze,Extension,CPR,Aggression,Pyramiding,Trailing_SL,Net PnL,Win Rate,Sharpe Ratio,Total Trades,Max Drawdown
institutional_momentum,True,True,False,True,True,True,0,0,0,0,0
institutional_momentum,True,True,False,True,True,False,0,0,0,0,0
institutional_momentum,True,True,False,True,False,True,0,0,0,0,0
institutional_momentum,True,True,False,True,False,False,0,0,0,0,0
institutional_momentum,True,True,False,False,True,True,0,0,0,0,0
institutional_momentum,True,True,False,False,True,False,0,0,0,0,0
institutional_momentum,True,True,False,False,False,True,0,0,0,0,0
institutional_momentum,True,True,False,False,False,False,0,0,0,0,0
institutional_momentum,True,False,True,True,True,True,0,0,0,0,0
institutional_momentum,True,False,True,True,True,False,0,0,0,0,0
institutional_momentum,True,False,True,True,False,True,0,0,0,0,0
institutional_momentum,True,False,True,True,False,False,0,0,0,0,0
institutional_momentum,True,False,True,False,True,True,0,0,0,0,0
institutional_momentum,True,False,True,False,True,False,0,0,0,0,0
institutional_momentum,True,False,True,False,False,True,0,0,0,0,0
institutional_momentum,True,False,True,False,False,False,0,0,0,0,0
institutional_momentum,True,False,False,True,True,True,0,0,0,0,0
institutional_momentum,True,False,False,True,True,False,0,0,0,0,0
institutional_momentum,True,False,False,True,False,True,0,0,0,0,0
institutional_momentum,True,False,False,True,False,False,0,0,0,0,0
institutional_momentum,True,False,False,False,True,True,0,0,0,0,0
institutional_momentum,True,False,False,False,True,False,0,0,0,0,0
institutional_momentum,True,False,False,False,False,True,0,0,0,0,0
institutional_momentum,True,False,False,False,False,False,0,0,0,0,0
institutional_momentum,False,True,True,True,True,True,0,0,0,0,0
institutional_momentum,False,True,True,True,True,False,0,0,0,0,0
institutional_momentum,False,True,True,True,False,True,0,0,0,0,0
institutional_momentum,False,True,True,True,False,False,0,0,0,0,0
institutional_momentum,False,True,True,False,True,True,0,0,0,0,0
institutional_momentum,False,True,True,False,True,False,0,0,0,0,0
institutional_momentum,False,True,True,False,False,True,0,0,0,0,0
institutional_momentum,False,True,True,False,False,False,0,0,0,0,0
institutional_momentum,False,True,False,True,True,True,0,0,0,0,0
institutional_momentum,False,True,False,True,True,False,0,0,0,0,0
institutional_momentum,False,True,False,True,False,True,0,0,0,0,0
institutional_momentum,False,True,False,True,False,False,0,0,0,0,0
institutional_momentum,False,True,False,False,True,True,0,0,0,0,0
institutional_momentum,False,True,False,False,True,False,0,0,0,0,0
institutional_momentum,False,True,False,False,False,True,0,0,0,0,0
institutional_momentum,False,True,False,False,False,False,0,0,0,0,0
institutional_momentum,False,False,True,True,True,True,0,0,0,0,0
institutional_momentum,False,False,True,True,True,False,0,0,0,0,0
institutional_momentum,False,False,True,True,False,True,0,0,0,0,0
institutional_momentum,False,False,True,True,False,False,0,0,0,0,0
institutional_momentum,False,False,True,False,True,True,0,0,0,0,0
institutional_momentum,False,False,True,False,True,False,0,0,0,0,0
institutional_momentum,False,False,True,False,False,True,0,0,0,0,0
institutional_momentum,False,False,True,False,False,False,0,0,0,0,0
institutional_momentum,False,False,False,True,True,True,0,0,0,0,0
institutional_momentum,False,False,False,True,True,False,0,0,0,0,0
institutional_momentum,False,False,False,True,False,True,0,0,0,0,0
institutional_momentum,False,False,False,True,False,False,0,0,0,0,0
institutional_momentum,False,False,False,False,True,True,0,0,0,0,0
institutional_momentum,False,False,False,False,True,False,0,0,0,0,0
institutional_momentum,False,False,False,False,False,True,0,0,0,0,0
institutional_momentum,False,False,False,False,False,False,0,0,0,0,0
premium,True,True,True,True,True,True,0,0,0,0,0
premium,True,True,True,True,True,False,0,0,0,0,0
premium,True,True,True,True,False,True,0,0,0,0,0
premium,True,True,True,True,False,False,0,0,0,0,0
premium,True,True,True,False,True,True,0,0,0,0,0
premium,True,True,True,False,True,False,0,0,0,0,0
premium,True,True,True,False,False,True,0,0,0,0,0
premium,True,True,True,False,False,False,0,0,0,0,0
premium,True,True,False,True,True,True,0,0,0,0,0
premium,True,True,False,True,True,False,0,0,0,0,0
premium,True,True,False,True,False,True,0,0,0,0,0
premium,True,True,False,True,False,False,0,0,0,0,0
premium,True,True,False,False,True,True,0,0,0,0,0
premium,True,True,False,False,True,False,0,0,0,0,0
premium,True,True,False,False,False,True,0,0,0,0,0
premium,True,True,False,False,False,False,0,0,0,0,0
premium,True,False,True,True,True,True,0,0,0,0,0
premium,True,False,True,True,True,False,0,0,0,0,0
premium,True,False,True,True,False,True,0,0,0,0,0
premium,True,False,True,True,False,False,0,0,0,0,0
premium,True,False,True,False,True,True,0,0,0,0,0
premium,True,False,True,False,True,False,0,0,0,0,0
premium,True,False,True,False,False,True,0,0,0,0,0
premium,True,False,True,False,False,False,0,0,0,0,0
premium,True,False,False,True,True,True,0,0,0,0,0
premium,True,False,False,True,True,False,0,0,0,0,0
premium,True,False,False,True,False,True,0,0,0,0,0
premium,True,False,False,True,False,False,0,0,0,0,0
premium,True,False,False,False,True,True,0,0,0,0,0
premium,True,False,False,False,True,False,0,0,0,0,0
premium,True,False,False,False,False,True,0,0,0,0,0
premium,True,False,False,False,False,False,0,0,0,0,0
premium,False,True,True,True,True,True,0,0,0,0,0
premium,False,True,True,True,True,False,0,0,0,0,0
premium,False,True,True,True,False,True,0,0,0,0,0
premium,False,True,True,True,False,False,0,0,0,0,0
premium,False,True,True,False,True,True,0,0,0,0,0
premium,False,True,True,False,True,False,0,0,0,0,0
premium,False,True,True,False,False,True,0,0,0,0,0
premium,False,True,True,False,False,False,0,0,0,0,0
premium,False,True,False,True,True,True,0,0,0,0,0
premium,False,True,False,True,True,False,0,0,0,0,0
premium,False,True,False,True,False,True,0,0,0,0,0
premium,False,True,False,True,False,False,0,0,0,0,0
premium,False,True,False,False,True,True,0,0,0,0,0
premium,False,True,False,False,True,False,0,0,0,0,0
premium,False,True,False,False,False,True,0,0,0,0,0
premium,False,True,False,False,False,False,0,0,0,0,0
premium,False,False,True,True,True,True,0,0,0,0,0
premium,False,False,True,True,True,False,0,0,0,0,0
premium,False,False,True,True,False,True,0,0,0,0,0
premium,False,False,True,True,False,False,0,0,0,0,0
premium,False,False,True,False,True,True,0,0,0,0,0
premium,False,False,True,False,True,False,0,0,0,0,0
premium,False,False,True,False,False,True,0,0,0,0,0
premium,False,False,True,False,False,False,0,0,0,0,0
premium,False,False,False,True,True,True,0,0,0,0,0
premium,False,False,False,True,True,False,0,0,0,0,0
premium,False,False,False,True,False,True,0,0,0,0,0
premium,False,False,False,True,False,False,0,0,0,0,0
premium,False,False,False,False,True,True,0,0,0,0,0
premium,False,False,False,False,True,False,0,0,0,0,0
premium,False,False,False,False,False,True,0,0,0,0,0
premium,False,False,False,False,False,False,0,0,0,0,0
